{'col': 1, 'row': 1, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 9, 'row': 4, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 10, 'row': 4, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 11, 'row': 4, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 12, 'row': 4, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 1, 'row': 5, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 2, 'row': 5, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 3, 'row': 5, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 4, 'row': 5, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 5, 'row': 5, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 6, 'row': 5, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 7, 'row': 5, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 8, 'row': 5, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 9, 'row': 5, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 10, 'row': 5, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 11, 'row': 5, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 12, 'row': 5, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 1, 'row': 6, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 2, 'row': 6, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 3, 'row': 6, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 4, 'row': 6, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 5, 'row': 6, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 6, 'row': 6, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 7, 'row': 6, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 8, 'row': 6, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 9, 'row': 6, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 10, 'row': 6, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 11, 'row': 6, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 12, 'row': 6, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 1, 'row': 7, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 2, 'row': 7, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 3, 'row': 7, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 4, 'row': 7, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 5, 'row': 7, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 6, 'row': 7, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 7, 'row': 7, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 8, 'row': 7, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 9, 'row': 7, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 10, 'row': 7, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 11, 'row': 7, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 12, 'row': 7, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 1, 'row': 8, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 2, 'row': 8, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 3, 'row': 8, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 4, 'row': 8, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 5, 'row': 8, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 6, 'row': 8, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 7, 'row': 8, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 8, 'row': 8, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 9, 'row': 8, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 10, 'row': 8, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 11, 'row': 8, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 12, 'row': 8, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
