{'col': 1, 'row': 1, 'tileID': 'b1', 'tileIndex': 2, 'collision': True,}
{'col': 6, 'row': 5, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 7, 'row': 5, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 8, 'row': 5, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 9, 'row': 5, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 10, 'row': 5, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 11, 'row': 5, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 12, 'row': 5, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 1, 'row': 6, 'tileID': 't1', 'tileIndex': 4, 'collision': True,}
{'col': 2, 'row': 6, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 3, 'row': 6, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 4, 'row': 6, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 5, 'row': 6, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 6, 'row': 6, 'tileID': 'w2', 'tileIndex': 1, 'collision': False,}
{'col': 7, 'row': 6, 'tileID': 'w2', 'tileIndex': 1, 'collision': False,}
{'col': 8, 'row': 6, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 9, 'row': 6, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 10, 'row': 6, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 11, 'row': 6, 'tileID': 't1', 'tileIndex': 4, 'collision': True,}
{'col': 12, 'row': 6, 'tileID': 't1', 'tileIndex': 4, 'collision': True,}
{'col': 1, 'row': 7, 'tileID': 't1', 'tileIndex': 4, 'collision': True,}
{'col': 2, 'row': 7, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 3, 'row': 7, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 4, 'row': 7, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 5, 'row': 7, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 6, 'row': 7, 'tileID': 'w2', 'tileIndex': 1, 'collision': False,}
{'col': 7, 'row': 7, 'tileID': 'w2', 'tileIndex': 1, 'collision': False,}
{'col': 8, 'row': 7, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 9, 'row': 7, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 10, 'row': 7, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 11, 'row': 7, 'tileID': 't1', 'tileIndex': 4, 'collision': True,}
{'col': 12, 'row': 7, 'tileID': 't1', 'tileIndex': 4, 'collision': True,}
{'col': 1, 'row': 8, 'tileID': 't1', 'tileIndex': 4, 'collision': True,}
{'col': 2, 'row': 8, 'tileID': 't1', 'tileIndex': 4, 'collision': True,}
{'col': 3, 'row': 8, 'tileID': 't1', 'tileIndex': 4, 'collision': True,}
{'col': 4, 'row': 8, 'tileID': 't1', 'tileIndex': 4, 'collision': True,}
{'col': 5, 'row': 8, 'tileID': 's1', 'tileIndex': 4, 'collision': False,}
{'col': 6, 'row': 8, 'tileID': 'w2', 'tileIndex': 1, 'collision': False,}
{'col': 7, 'row': 8, 'tileID': 'w2', 'tileIndex': 1, 'collision': False,}
{'col': 8, 'row': 8, 'tileID': 's1', 'tileIndex': 6, 'collision': False,}
{'col': 9, 'row': 8, 'tileID': 't1', 'tileIndex': 4, 'collision': True,}
{'col': 10, 'row': 8, 'tileID': 't1', 'tileIndex': 4, 'collision': True,}
{'col': 11, 'row': 8, 'tileID': 't1', 'tileIndex': 4, 'collision': True,}
{'col': 12, 'row': 8, 'tileID': 't1', 'tileIndex': 4, 'collision': True,}
{'col': 6, 'row': 6, 'tileID': 'w2', 'tileIndex': 4, 'collision': False,}
